dataset,score,num_clusters,method,trial
darmanis_brain.h5ad,0.10681511925556278,17,gm,1
darmanis_brain.h5ad,0.2371241200899518,18,spectral,1
darmanis_brain.h5ad,0.6449508658636713,18,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,18,gm,1
darmanis_brain.h5ad,0.2516387764759792,19,spectral,1
darmanis_brain.h5ad,0.6418225844032803,19,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,19,gm,1
darmanis_brain.h5ad,0.38199284776583736,10,spectral,2
darmanis_brain.h5ad,0.6374911182489666,10,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,10,gm,2
darmanis_brain.h5ad,0.41349371141427943,11,spectral,2
darmanis_brain.h5ad,0.5901288839880863,11,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,11,gm,2
darmanis_brain.h5ad,0.3605699454025899,12,spectral,2
darmanis_brain.h5ad,0.5897789865353525,12,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,12,gm,2
darmanis_brain.h5ad,0.3853454284447979,13,spectral,2
darmanis_brain.h5ad,0.5067143250140648,13,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,13,gm,2
darmanis_brain.h5ad,0.32314051429010054,14,spectral,2
darmanis_brain.h5ad,0.5853158540661573,14,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,14,gm,2
darmanis_brain.h5ad,0.2566260016744712,15,spectral,2
darmanis_brain.h5ad,0.6468536583144059,15,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,15,gm,2
darmanis_brain.h5ad,0.25693547976481806,16,spectral,2
darmanis_brain.h5ad,0.5291413062204213,16,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,16,gm,2
darmanis_brain.h5ad,0.22030590948676432,17,spectral,2
darmanis_brain.h5ad,0.5924297239808284,17,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,17,gm,2
darmanis_brain.h5ad,0.239180161264007,18,spectral,2
darmanis_brain.h5ad,0.6449508658636713,18,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,18,gm,2
darmanis_brain.h5ad,0.2592213132770476,19,spectral,2
darmanis_brain.h5ad,0.6418225844032803,19,kmeans,2
darmanis_brain.h5ad,0.10681511925556278,19,gm,2
darmanis_brain.h5ad,0.38199284776583736,10,spectral,3
darmanis_brain.h5ad,0.6374911182489666,10,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,10,gm,3
darmanis_brain.h5ad,0.4027667992378047,11,spectral,3
darmanis_brain.h5ad,0.5901288839880863,11,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,11,gm,3
darmanis_brain.h5ad,0.36548593568409216,12,spectral,3
darmanis_brain.h5ad,0.5897789865353525,12,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,12,gm,3
darmanis_brain.h5ad,0.3675541586403109,13,spectral,3
darmanis_brain.h5ad,0.5067143250140648,13,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,13,gm,3
darmanis_brain.h5ad,0.3214117814336322,14,spectral,3
darmanis_brain.h5ad,0.5853158540661573,14,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,14,gm,3
darmanis_brain.h5ad,0.2558727063054203,15,spectral,3
darmanis_brain.h5ad,0.6468536583144059,15,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,15,gm,3
darmanis_brain.h5ad,0.2540175670156341,16,spectral,3
darmanis_brain.h5ad,0.5291413062204213,16,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,16,gm,3
darmanis_brain.h5ad,0.24532705476539488,17,spectral,3
darmanis_brain.h5ad,0.5924297239808284,17,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,17,gm,3
darmanis_brain.h5ad,0.25891455301887834,18,spectral,3
darmanis_brain.h5ad,0.6449508658636713,18,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,18,gm,3
darmanis_brain.h5ad,0.26776450196512463,19,spectral,3
darmanis_brain.h5ad,0.6418225844032803,19,kmeans,3
darmanis_brain.h5ad,0.10681511925556278,19,gm,3
darmanis_brain.h5ad,0.38199284776583736,10,spectral,4
darmanis_brain.h5ad,0.6374911182489666,10,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,10,gm,4
darmanis_brain.h5ad,0.4171178642206901,11,spectral,4
darmanis_brain.h5ad,0.5901288839880863,11,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,11,gm,4
darmanis_brain.h5ad,0.36126773428882114,12,spectral,4
darmanis_brain.h5ad,0.5897789865353525,12,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,12,gm,4
darmanis_brain.h5ad,0.37028233448292464,13,spectral,4
darmanis_brain.h5ad,0.5067143250140648,13,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,13,gm,4
darmanis_brain.h5ad,0.360045262779349,14,spectral,4
darmanis_brain.h5ad,0.5853158540661573,14,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,14,gm,4
darmanis_brain.h5ad,0.2669380427439065,15,spectral,4
darmanis_brain.h5ad,0.6468536583144059,15,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,15,gm,4
darmanis_brain.h5ad,0.2618488730290279,16,spectral,4
darmanis_brain.h5ad,0.5291413062204213,16,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,16,gm,4
darmanis_brain.h5ad,0.22014927802352205,17,spectral,4
darmanis_brain.h5ad,0.5924297239808284,17,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,17,gm,4
darmanis_brain.h5ad,0.22205469685425736,18,spectral,4
darmanis_brain.h5ad,0.6449508658636713,18,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,18,gm,4
darmanis_brain.h5ad,0.24602648513068162,19,spectral,4
darmanis_brain.h5ad,0.6418225844032803,19,kmeans,4
darmanis_brain.h5ad,0.10681511925556278,19,gm,4
romanov_brain.h5ad,0.4536373363792943,10,spectral,0
romanov_brain.h5ad,0.7207009203768316,10,kmeans,0
romanov_brain.h5ad,0.017662805981027055,10,gm,0
romanov_brain.h5ad,0.4063692788561245,11,spectral,0
romanov_brain.h5ad,0.719195472513677,11,kmeans,0
romanov_brain.h5ad,0.017662805981027055,11,gm,0
romanov_brain.h5ad,0.44538254642993147,12,spectral,0
romanov_brain.h5ad,0.558724693909698,12,kmeans,0
romanov_brain.h5ad,0.017662805981027055,12,gm,0
romanov_brain.h5ad,0.4134049137627076,13,spectral,0
romanov_brain.h5ad,0.5784186415827614,13,kmeans,0
romanov_brain.h5ad,0.017662805981027055,13,gm,0
romanov_brain.h5ad,0.41015127416184255,14,spectral,0
romanov_brain.h5ad,0.5094034179869489,14,kmeans,0
romanov_brain.h5ad,0.017662805981027055,14,gm,0
romanov_brain.h5ad,0.4259815852942766,15,spectral,0
romanov_brain.h5ad,0.4353500643056159,15,kmeans,0
romanov_brain.h5ad,0.017662805981027055,15,gm,0
romanov_brain.h5ad,0.4298671729377715,16,spectral,0
romanov_brain.h5ad,0.4577491419969926,16,kmeans,0
romanov_brain.h5ad,0.017662805981027055,16,gm,0
romanov_brain.h5ad,0.42104530879805196,17,spectral,0
romanov_brain.h5ad,0.5628099866325235,17,kmeans,0
romanov_brain.h5ad,0.017662805981027055,17,gm,0
romanov_brain.h5ad,0.4042930830612873,18,spectral,0
romanov_brain.h5ad,0.5547599370817704,18,kmeans,0
romanov_brain.h5ad,0.017662805981027055,18,gm,0
romanov_brain.h5ad,0.3998548562680587,19,spectral,0
romanov_brain.h5ad,0.43633458486852744,19,kmeans,0
romanov_brain.h5ad,0.017662805981027055,19,gm,0
romanov_brain.h5ad,0.4536373363792943,10,spectral,1
romanov_brain.h5ad,0.7207009203768316,10,kmeans,1
romanov_brain.h5ad,0.017662805981027055,10,gm,1
romanov_brain.h5ad,0.4063692788561245,11,spectral,1
romanov_brain.h5ad,0.719195472513677,11,kmeans,1
romanov_brain.h5ad,0.017662805981027055,11,gm,1
romanov_brain.h5ad,0.44538254642993147,12,spectral,1
romanov_brain.h5ad,0.558724693909698,12,kmeans,1
